Timestamp;Name / Initial;Gender;"EP
";CR;PE;PP;PCQ1;PCQ2;"POE
";PSQ
9/22/2022 23:31:13;winda;Female;5;5;5;5;5;3;5;5
9/22/2022 23:49:45;Nadhira;Female;5;4;4;4;5;4;5;5
9/23/2022 6:57:59;Sakinah;Female;4;5;5;4;4;4;3;5
9/23/2022 8:09:11;r;Female;4;4;5;3;3;4;5;4
9/23/2022 8:10:57;el;Female;4;4;4;4;4;3;4;2
9/23/2022 8:12:56;Alya;Female;5;4;5;4;4;3;4;5
9/23/2022 8:13:34;Angelica;Female;5;5;5;5;4;5;5;4
9/23/2022 8:27:07;HRA;Male;5;4;4;4;4;4;4;5
9/23/2022 8:29:45;J;Female;5;4;5;4;3;4;5;5
9/23/2022 8:30:01;Micheleasn;Female;4;4;4;3;4;4;4;3
9/23/2022 9:04:15;nwl;Female;5;4;5;5;4;5;5;5
9/23/2022 9:05:50;A;Male;4;4;4;4;4;4;4;4
9/23/2022 9:19:34;hana;Female;4;4;5;4;4;3;5;4
9/23/2022 9:30:56;Irene Salsabila;Female;4;5;5;2;4;4;4;4
9/23/2022 9:38:59;nadia;Female;5;5;5;4;4;5;4;3
9/23/2022 11:06:36;Adrian Navis;Male;3;5;4;2;3;4;4;5
9/23/2022 11:42:10;Martha;Female;4;4;4;4;3;3;4;4
9/23/2022 13:30:57;ir;Female;2;4;2;2;2;2;4;4
9/23/2022 13:40:55;fms;Male;4;4;4;4;5;3;4;5
9/23/2022 14:41:39;rcl;Female;5;5;5;3;3;4;5;3
9/23/2022 14:46:03;ratwl;Male;4;4;4;4;4;5;5;4
9/23/2022 14:51:04;khalisha;Female;5;3;3;3;4;4;5;3
9/23/2022 14:55:03;Rhaisya ;Female;4;5;5;4;4;3;4;4
9/23/2022 16:09:11;April;Female;4;4;4;3;4;4;4;4
9/23/2022 16:30:25;Tasya;Female;3;5;4;3;3;3;4;4
9/23/2022 17:44:55;EM;Female;4;2;4;2;2;3;2;2
9/23/2022 17:47:45;syifa;Female;4;4;4;3;4;4;4;3
9/24/2022 0:04:13;t;Female;4;5;5;4;4;4;5;5
9/24/2022 0:45:19;helen ;Female;4;5;5;5;4;4;5;5
9/24/2022 10:58:55;tazkia;Female;5;5;5;5;4;3;5;5
9/24/2022 11:37:56;Fabian;Male;4;5;5;4;3;2;3;5
9/24/2022 11:42:43;ANS;Female;5;5;5;4;5;5;5;5
9/24/2022 12:26:12;NM;Male;5;5;5;4;5;4;4;5
9/24/2022 13:19:00;zha;Male;4;5;4;5;5;5;2;5
9/24/2022 13:43:51;Jesaya;Male;4;5;5;4;4;4;4;4
9/24/2022 13:46:52;Qarissa ;Female;4;5;5;3;4;5;4;5
9/24/2022 14:27:33;Diva;Female;5;5;5;4;3;3;5;4
9/24/2022 18:21:19;c;Female;5;5;5;4;4;4;5;5
9/24/2022 21:41:02;SM;Female;5;5;5;4;5;3;4;5
9/25/2022 0:32:49;m;Female;4;5;4;4;4;5;3;4
9/25/2022 18:31:05;Rafindra;Male;4;5;4;4;5;3;5;4
9/25/2022 19:41:55;ffp;Female;5;4;5;5;4;5;5;5
9/25/2022 23:22:50;hamidah k;Female;4;5;5;3;4;3;4;5
9/26/2022 4:05:02;Albimandaka;Male;4;5;4;3;4;2;4;5
9/26/2022 7:41:05;a;Female;5;5;5;4;5;4;5;5
9/26/2022 7:45:31;dinda;Female;5;5;5;4;4;4;5;5
